companylist (4)
Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
NBO,Neuberger Berman New York Municipal Fund Inc.,12.12,$61.54M,2002,n/a,n/a,https://old.nasdaq.com/symbol/nbo,
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",4.24,$201.06M,2003,n/a,n/a,https://old.nasdaq.com/symbol/nro,
NBA,New Beginnings Acquisition Corp.,9.8957,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/nba,
NBA.U,New Beginnings Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/nba.u,
NBA.WS,New Beginnings Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nba.ws,
GBR,"New Concept Energy, Inc",1.8,$9.24M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gbr,
NEN,New England Realty Associates Limited Partnership,49.55,$180.99M,n/a,Consumer Services,Building operators,https://old.nasdaq.com/symbol/nen,
NGD,New Gold Inc.,1.83,$1.24B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ngd,
NXE,Nexgen Energy Ltd.,1.85,$697.36M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/nxe,
NAK,"Northern Dynasty Minerals, Ltd.",0.3773,$192.06M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/nak,
NOG,"Northern Oil and Gas, Inc.",6.92,$317.29M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nog,
NBY,"NovaBay Pharmaceuticals, Inc.",0.635,$26.53M,2007,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nby,
NG,Novagold Resources Inc.,10.05,$3.32B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ng,
NTN,"NTN Buzztime, Inc.",2.02,$5.98M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ntn,
NES,"Nuverra Environmental Solutions, Inc.",2.4094,$38M,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/nes,
OBLG,Oblong Inc.,4.07,$25.58M,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/oblg,
OCX,OncoCyte Corporation,1.79,$120.38M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/ocx,
OGEN,Oragenics Inc.,0.4149,$25.31M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ogen,
PCG^A,Pacific Gas & Electric Co.,29.53,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcg^a,
PCG^B,Pacific Gas & Electric Co.,27.27,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcg^b,
PCG^C,Pacific Gas & Electric Co.,25.36,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcg^c,
PCG^D,Pacific Gas & Electric Co.,25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcg^d,
PCG^E,Pacific Gas & Electric Co.,24.69,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcg^e,
PCG^G,Pacific Gas & Electric Co.,24.15,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcg^g,
PCG^H,Pacific Gas & Electric Co.,23.03,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcg^h,
PCG^I,Pacific Gas & Electric Co.,22.48,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcg^i,
PTN,"Palatin Technologies, Inc.",0.4499,$103.43M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ptn,
PZG,Paramount Gold Nevada Corp.,1.0647,$36.51M,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/pzg,
PRK,Park National Corporation,105.31,$1.72B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/prk,
ID,"PARTS iD, Inc.",5.84,n/a,2017,Technology,Advertising,https://old.nasdaq.com/symbol/id,
PED,Pedevco Corp.,1.37,$99.27M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ped,
HNW,Pioneer Diversified High Income Trust,14.01,$116.74M,2007,n/a,n/a,https://old.nasdaq.com/symbol/hnw,
PLAG,Planet Green Holdings Corp,2.1,$23.16M,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/plag,
PLG,Platinum Group Metals Ltd.,2.39,$160.75M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/plg,
PLYM^A,"Plymouth Industrial REIT, Inc.",26.02,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/plym^a,
PLM,Polymet Mining Corp.,3.74,$376.62M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/plm,
PW,Power REIT,24.89,$47.69M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pw,
PW^A,Power REIT,26.65,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pw^a,
PLX,"Protalix BioTherapeutics, Inc.",3.62,$120.68M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/plx,
PTK,PTK Acquisition Corp.,9.87,$141.88M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/ptk,
PTK.U,PTK Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/ptk.u,
PTK.WS,PTK Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ptk.ws,
RLGT,"Radiant Logistics, Inc.",6.07,$301.56M,n/a,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/rlgt,
UTG,Reaves Utility Income Fund,33.39,$1.72B,2004,n/a,n/a,https://old.nasdaq.com/symbol/utg,
RHE,"Regional Health Properties, Inc.",1.47,$2.48M,2017,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/rhe,
RHE^A,"Regional Health Properties, Inc.",1.9304,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rhe^a,
RCG,"RENN Fund, Inc.",1.57,$9.34M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rcg,
RVP,"Retractable Technologies, Inc.",11.56,$390.92M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/rvp,
REI,"Ring Energy, Inc.",0.7,$57.17M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/rei,
SACC,Sachem Capital Corp.,25,n/a,2019,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sacc,
SACH,Sachem Capital Corp.,4.1712,$92.29M,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sach,
SCCB,Sachem Capital Corp.,25.15,n/a,2019,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sccb,
SCCC,Sachem Capital Corp.,25.24,n/a,2020,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sccc,
SNMP,Sanchez Midstream Partners LP,0.667,$13.31M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/snmp,
SEB,Seaboard Corporation,3300.1,$3.83B,1996,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/seb,
SENS,"Senseonics Holdings, Inc.",0.3685,$90.53M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/sens,
SVT,"Servotronics, Inc.",7.22,$17.97M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/svt,
SMTS,Sierra Metals Inc.,2.95,$480.26M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/smts,
SIF,"SIFCO Industries, Inc.",3.9154,$23.16M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/sif,
SVM,Silvercorp Metals Inc.,5.97,$1.05B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/svm,
SILV,SilverCrest Metals Inc.,8.71,$1.13B,2018,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/silv,
XPL,Solitario Zinc Corp.,0.4831,$28.07M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/xpl,
LOV,"Spark Networks, Inc.",4.71,$122.73M,2017,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/lov,
STXS,"Stereotaxis, Inc.",4.32,$318.32M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/stxs,
SSY,"SunLink Health Systems, Inc.",1.2009,$8.29M,n/a,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/ssy,
SDPI,"Superior Drilling Products, Inc.",0.5,$12.81M,2014,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/sdpi,
SYN,"Synthetic Biologics, Inc",0.3748,$7.49M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/syn,
TKAT,"Takung Art Co., Ltd.",1.165,$13.13M,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/tkat,
TALO.WS,"Talos Energy, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/talo.ws,
TRX,Tanzanian Gold Corporation,0.6153,$121.5M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/trx,
TGB,Taseko Mines Limited,0.9393,$262.26M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/tgb,
TGC,"Tengasco, Inc.",1.1179,$11.94M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/tgc,
GLU,The Gabelli Global Utility and Income Trust,17.66,$94.9M,2004,n/a,n/a,https://old.nasdaq.com/symbol/glu,
GLU^A,The Gabelli Global Utility and Income Trust,46.5614,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/glu^a,
GLU^B,The Gabelli Global Utility and Income Trust,52.0665,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/glu^b,
GGO,The Gabelli Go Anywhere Trust,11.9102,$18.46M,2016,n/a,n/a,https://old.nasdaq.com/symbol/ggo,
GGO^A,The Gabelli Go Anywhere Trust,40.81,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ggo^a,
TDW.WS,Tidewater Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/tdw.ws,
TMBR,"Timber Pharmaceuticals, Inc.",1.115,$13.21M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tmbr,
TMP,Tompkins Financial Corporation,67.14,$1B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tmp,
TAT,Transatlantic Petroleum Ltd,0.2461,$18.79M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/tat,
TRXC,"TransEnterix, Inc.",0.4774,$47.7M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/trxc,
TMQ,Trilogy Metals Inc.,1.76,$251.69M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/tmq,
TPHS,Trinity Place Holdings Inc.,1.32,$42.47M,n/a,Consumer Services,Building operators,https://old.nasdaq.com/symbol/tphs,
TRT,Trio-Tech International,3.8401,$14.25M,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/trt,
UFAB,"Unique Fabricating, Inc.",4.7,$45.96M,2015,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/ufab,
UAMY,United States Antimony Corporation,0.3947,$29.98M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/uamy,
UUU,"Universal Security Instruments, Inc.",3.27,$7.56M,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/uuu,
URG,Ur Energy Inc,0.5151,$87.4M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/urg,
UEC,Uranium Energy Corp.,1.07,$211.19M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/uec,
VGZ,Vista Gold Corporation,0.9576,$98.33M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/vgz,
VNRX,VolitionRX Limited,3.38,$162.91M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/vnrx,
VOLT,"Volt Information Sciences, Inc.",2.165,$46.98M,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/volt,
EAD,Wells Fargo Income Opportunities Fund,7.84,$475.28M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ead,
ERC,Wells Fargo Multi-Sector Income Fund,11.91,$358.26M,2003,n/a,n/a,https://old.nasdaq.com/symbol/erc,
ERH,Wells Fargo Utilities and High Income Fund,12.61,$116.96M,2004,n/a,n/a,https://old.nasdaq.com/symbol/erh,
WRN,Western Copper and Gold Corporation,1.24,$143.55M,2011,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/wrn,
WYY,WidePoint Corporation,11.11,$93.98M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/wyy,
WTT,"Wireless Telecom Group,  Inc.",1.58,$34.28M,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/wtt,
XTNT,"Xtant Medical Holdings, Inc.",1.24,$95.31M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xtnt,
ZDGE,"Zedge, Inc.",3.78,$46.92M,2016,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/zdge,
ZOM,Zomedica Corp.,0.1339,$75.53M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/zom,
